,generation,best_fitness,min_fitness,average_fitness,std_fitness,test_fitness,experiment_id,repetition,config,count_better,count_worse
37,37,0.23162650671623747,1.356957979045803e-05,0.06816763918940494,0.05698797956253968,0.2313598919830775,10,0,"{'population_size': 100, 'num_generations': 50, 'crossover_prob': 0.9, 'mutation_prob': 0.05, 'tournament_size': 2, 'experiment_id': 10, 'repetition': 0}",2097,2379
38,38,0.23162650671623747,0.00048318135702285925,0.0813514518105349,0.05679087256781707,0.2313598919830775,10,0,"{'population_size': 100, 'num_generations': 50, 'crossover_prob': 0.9, 'mutation_prob': 0.05, 'tournament_size': 2, 'experiment_id': 10, 'repetition': 0}",2097,2379
39,39,0.23162650671623747,0.0017472033477151472,0.0900534330008308,0.05352413314497363,0.2313598919830775,10,0,"{'population_size': 100, 'num_generations': 50, 'crossover_prob': 0.9, 'mutation_prob': 0.05, 'tournament_size': 2, 'experiment_id': 10, 'repetition': 0}",2097,2379
40,40,0.23162650671623747,0.00048318135702285925,0.0845454477178841,0.05673425284699664,0.2313598919830775,10,0,"{'population_size': 100, 'num_generations': 50, 'crossover_prob': 0.9, 'mutation_prob': 0.05, 'tournament_size': 2, 'experiment_id': 10, 'repetition': 0}",2097,2379
41,41,0.23162650671623747,2.723947181737696e-06,0.08513760412220694,0.05769595570830323,0.2313598919830775,10,0,"{'population_size': 100, 'num_generations': 50, 'crossover_prob': 0.9, 'mutation_prob': 0.05, 'tournament_size': 2, 'experiment_id': 10, 'repetition': 0}",2097,2379
42,42,0.23162650671623747,0.00048318135702285925,0.09228990031950969,0.057388083544412494,0.2313598919830775,10,0,"{'population_size': 100, 'num_generations': 50, 'crossover_prob': 0.9, 'mutation_prob': 0.05, 'tournament_size': 2, 'experiment_id': 10, 'repetition': 0}",2097,2379
43,43,0.23162650671623747,1.356957979045803e-05,0.09565256399192795,0.06094597951100671,0.2313598919830775,10,0,"{'population_size': 100, 'num_generations': 50, 'crossover_prob': 0.9, 'mutation_prob': 0.05, 'tournament_size': 2, 'experiment_id': 10, 'repetition': 0}",2097,2379
44,44,0.23162650671623747,0.00048318135702285925,0.10376859779531394,0.058621470247891105,0.2313598919830775,10,0,"{'population_size': 100, 'num_generations': 50, 'crossover_prob': 0.9, 'mutation_prob': 0.05, 'tournament_size': 2, 'experiment_id': 10, 'repetition': 0}",2097,2379
45,45,0.23162650671623747,0.0009036810677518624,0.10489266380438171,0.06111627502242644,0.2313598919830775,10,0,"{'population_size': 100, 'num_generations': 50, 'crossover_prob': 0.9, 'mutation_prob': 0.05, 'tournament_size': 2, 'experiment_id': 10, 'repetition': 0}",2097,2379
46,46,0.23162650671623747,0.0009036810677518624,0.1058667229260442,0.06593214591347969,0.2313598919830775,10,0,"{'population_size': 100, 'num_generations': 50, 'crossover_prob': 0.9, 'mutation_prob': 0.05, 'tournament_size': 2, 'experiment_id': 10, 'repetition': 0}",2097,2379
47,47,0.23162650671623747,0.000332706018194225,0.09247912736794296,0.0658752498781391,0.2313598919830775,10,0,"{'population_size': 100, 'num_generations': 50, 'crossover_prob': 0.9, 'mutation_prob': 0.05, 'tournament_size': 2, 'experiment_id': 10, 'repetition': 0}",2097,2379
48,48,0.23162650671623747,1.356957979045803e-05,0.0893421691756186,0.06541680509820852,0.2313598919830775,10,0,"{'population_size': 100, 'num_generations': 50, 'crossover_prob': 0.9, 'mutation_prob': 0.05, 'tournament_size': 2, 'experiment_id': 10, 'repetition': 0}",2097,2379
49,49,0.23162650671623747,0.00020485392158005666,0.08218181268885734,0.06218061138720336,0.2313598919830775,10,0,"{'population_size': 100, 'num_generations': 50, 'crossover_prob': 0.9, 'mutation_prob': 0.05, 'tournament_size': 2, 'experiment_id': 10, 'repetition': 0}",2097,2379
50,0,0.08614013460095866,6.232449021384381e-16,0.009416855099402141,0.013955465474540607,0.00878405287695474,10,1,"{'population_size': 100, 'num_generations': 50, 'crossover_prob': 0.9, 'mutation_prob': 0.05, 'tournament_size': 2, 'experiment_id': 10, 'repetition': 1}",2295,2203
51,1,0.10100018099116084,2.723947181737696e-06,0.012291937678957034,0.01631642881321616,9.063200804621742e-16,10,1,"{'population_size': 100, 'num_generations': 50, 'crossover_prob': 0.9, 'mutation_prob': 0.05, 'tournament_size': 2, 'experiment_id': 10, 'repetition': 1}",2295,2203
52,2,0.10100018099116084,5.514778287443675e-06,0.016245092021491075,0.017142713534753756,9.063200804621742e-16,10,1,"{'population_size': 100, 'num_generations': 50, 'crossover_prob': 0.9, 'mutation_prob': 0.05, 'tournament_size': 2, 'experiment_id': 10, 'repetition': 1}",2295,2203
53,3,0.10100018099116084,2.723947181737696e-06,0.019559770893814683,0.01960497912206756,9.063200804621742e-16,10,1,"{'population_size': 100, 'num_generations': 50, 'crossover_prob': 0.9, 'mutation_prob': 0.05, 'tournament_size': 2, 'experiment_id': 10, 'repetition': 1}",2295,2203
54,4,0.10100018099116084,1.113148687615448e-05,0.021575467930304168,0.021929068913050076,9.063200804621742e-16,10,1,"{'population_size': 100, 'num_generations': 50, 'crossover_prob': 0.9, 'mutation_prob': 0.05, 'tournament_size': 2, 'experiment_id': 10, 'repetition': 1}",2295,2203
55,5,0.10100018099116084,1.2040300767436537e-05,0.022957344136100347,0.025473728044269145,9.063200804621742e-16,10,1,"{'population_size': 100, 'num_generations': 50, 'crossover_prob': 0.9, 'mutation_prob': 0.05, 'tournament_size': 2, 'experiment_id': 10, 'repetition': 1}",2295,2203
